itemid,categoryid,parentid,category_depth
122,1432,362,2
123,1301,1034,2
125,1076,986,2
126,1694,1621,2
127,403,1687,3
129,996,1259,2
130,438,312,2
131,135,1618,3
132,331,1487,3
133,535,426,3
134,531,1058,3
135,656,1125,3
137,342,500,2
138,57,314,3
139,562,986,2
140,273,362,2
141,1510,1009,2
142,999,1621,2
143,374,131,3
144,959,1095,3
145,1007,485,3
146,208,33,2
147,646,1606,3
148,494,768,2
149,491,679,1
150,13,1495,2
151,1445,293,2
152,1564,1141,3
153,429,113,2
154,342,500,2
155,1047,127,3
156,769,587,2
157,1385,1202,2
158,512,362,2
159,173,788,2
160,434,968,2
161,1301,1034,2
162,1680,587,2
163,407,207,2
164,50,312,2
165,1666,1684,2
166,619,145,2
167,284,1009,2
168,822,1546,3
170,589,1308,3
171,403,1687,3
172,988,727,2
174,342,500,2
175,1483,561,2
176,209,293,2
177,499,986,2
178,1320,879,2
179,1007,485,3
180,686,594,3
181,491,679,1
182,1192,955,3
183,360,1174,3
184,996,1259,2
185,618,105,2
186,403,1687,3
187,1007,485,3
188,1477,206,3
189,1639,1181,3
190,1255,587,2
191,1404,593,2
192,342,500,2
193,1528,1426,2
194,1084,194,3
195,324,1145,3
196,1173,805,3
197,1287,1009,2
198,1376,480,3
199,1163,561,2
200,686,594,3
202,739,1181,3
203,64,206,3
204,1250,1423,2
205,1007,485,3
206,350,362,2
207,586,1519,2
209,1517,71,2
210,421,1424,2
211,1119,125,4
212,686,594,3
213,628,149,3
214,1084,194,3
215,1320,879,2
216,1404,593,2
217,637,92,2
218,438,312,2
219,1415,14,3
220,1483,561,2
221,267,1566,2
222,1338,1278,2
223,550,1139,2
224,996,1259,2
225,1026,351,2
226,936,143,2
227,427,1313,3
228,959,1095,3
230,730,1482,1
232,196,1667,3
233,1172,810,2
234,1346,1678,2
235,1029,1181,3
236,1113,1145,3
237,1474,480,3
240,1542,745,3
241,1404,593,2
242,1084,194,3
243,1279,1606,3
244,730,1482,1
245,209,293,2
247,1240,1546,3
248,1007,485,3
249,1070,1423,2
250,816,623,3
251,342,500,2
252,730,1482,1
253,535,426,3
254,595,186,3
255,1007,485,3
257,707,561,2
258,1142,485,3
259,691,1079,3
260,1135,1329,3
261,816,623,3
262,1301,1034,2
263,1351,795,2
264,491,679,1
265,769,587,2
266,414,206,3
267,595,186,3
268,333,1497,2
270,646,1606,3
271,1404,593,2
272,1493,594,3
273,414,206,3
274,1173,805,3
275,1483,561,2
277,730,1482,1
278,808,1272,3
279,403,1687,3
280,535,426,3
281,508,362,2
283,1455,213,3
285,1373,872,2
286,1069,362,2
287,342,500,2
288,256,1257,2
289,427,1313,3
290,273,362,2
292,48,500,2
293,1680,587,2
294,1007,485,3
295,1528,1426,2
296,337,653,1
297,342,500,2
298,1378,322,3
299,330,986,2
300,769,587,2
301,1378,322,3
303,282,113,2
304,618,105,2
305,707,561,2
306,1244,500,2
307,1087,622,3
308,92,653,1
309,208,33,2
310,1010,755,1
311,1191,61,2
312,1172,810,2
313,242,1531,2
314,1070,1423,2
315,959,1095,3
316,1196,1181,3
317,1247,593,2
318,741,362,2
319,1358,1009,2
320,282,113,2
321,1135,1329,3
323,512,362,2
324,1059,1696,2
325,342,500,2
326,1085,1228,4
327,242,1531,2
328,48,500,2
329,1483,561,2
330,173,788,2
331,927,605,2
332,1285,1259,2
333,56,1497,2
334,904,114,3
335,173,788,2
336,421,1424,2
337,535,426,3
339,1287,1009,2
340,967,378,1
341,1203,755,1
342,646,1606,3
343,421,1424,2
344,278,362,2
345,374,131,3
346,806,1497,2
347,562,986,2
348,390,1546,3
349,209,293,2
350,1261,25,2
351,1301,1034,2
352,72,620,4
353,1076,986,2
354,730,1482,1
355,1196,1181,3
356,1454,1596,2
357,173,788,2
358,1248,1368,3
359,1533,602,2
360,251,194,3
361,586,1519,2
362,741,362,2
363,1051,955,3
364,387,1621,2
365,1432,362,2
366,65,293,2
368,769,587,2
369,479,520,4
370,1504,587,2
371,1279,1606,3
372,354,1009,2
373,192,1181,3
374,13,1495,2
375,1173,805,3
376,844,1458,3
377,1244,500,2
379,921,143,2
380,342,500,2
381,792,805,3
382,769,587,2
385,518,362,2
387,1091,573,4
388,1258,1386,4
389,342,500,2
390,1233,1257,2
391,1231,901,2
392,251,194,3
393,1047,127,3
394,209,293,2
395,1432,362,2
396,51,955,3
397,858,1426,2
398,806,1497,2
399,942,125,4
400,1061,1259,2
401,130,145,2
402,1312,713,3
403,411,561,2
404,531,1058,3
405,1,854,2
406,1265,1136,3
408,1113,1145,3
409,1171,938,3
410,1231,901,2
412,1018,1331,4
413,1221,1426,2
414,1493,594,3
415,1051,955,3
418,160,605,2
419,996,1259,2
420,77,590,3
421,342,500,2
422,1061,1259,2
423,1142,485,3
424,342,500,2
425,331,1487,3
426,1287,1009,2
428,1598,229,4
429,769,587,2
430,702,1067,3
431,491,679,1
432,1244,500,2
433,1680,587,2
434,914,226,3
435,1070,1423,2
436,1504,587,2
438,1301,1034,2
439,589,1308,3
440,730,1482,1
441,1135,1329,3
443,1343,25,2
444,828,293,2
445,1114,113,2
446,1338,1278,2
447,523,593,2
448,436,1518,3
450,198,1009,2
451,414,206,3
452,619,145,2
453,988,727,2
454,436,1518,3
455,342,500,2
456,1091,573,4
457,1142,485,3
459,512,362,2
460,1421,105,2
461,330,986,2
462,1007,485,3
464,1172,810,2
465,1135,1329,3
466,196,1667,3
467,769,587,2
468,475,1550,3
469,958,1041,4
470,1254,520,4
471,741,362,2
472,1070,1423,2
473,342,500,2
474,1084,194,3
475,646,1606,3
476,1061,1259,2
477,1474,480,3
478,1142,485,3
480,769,587,2
481,1192,955,3
482,1483,561,2
483,976,1009,2
484,1387,933,2
485,1248,1368,3
486,198,1009,2
488,429,113,2
489,926,852,4
490,452,561,2
491,494,768,2
492,963,1281,3
493,173,788,2
494,1593,1673,2
495,1447,351,2
496,707,561,2
497,173,788,2
498,1375,805,3
500,1007,485,3
501,1084,194,3
502,1078,1249,2
503,1221,1426,2
504,342,500,2
505,64,206,3
506,1407,713,3
507,1287,1009,2
508,1279,1606,3
509,1486,140,1
510,1535,727,2
511,1500,1515,3
512,1528,1426,2
513,48,500,2
514,1522,1009,2
515,914,226,3
518,173,788,2
519,324,1145,3
520,617,131,3
521,1358,1009,2
522,1026,351,2
523,789,14,3
524,619,145,2
525,1142,485,3
526,1665,945,2
527,508,362,2
528,342,500,2
529,1179,580,3
530,1503,580,3
531,1301,1034,2
532,1556,1009,2
533,646,1606,3
534,1500,1515,3
535,997,187,4
536,619,145,2
537,1404,593,2
538,706,713,3
539,1483,561,2
540,1250,1423,2
542,130,145,2
543,1343,25,2
544,1301,1034,2
546,1349,121,3
547,1113,1145,3
548,342,500,2
549,586,1519,2
550,633,568,3
551,1244,500,2
552,219,1081,2
553,65,293,2
554,575,1257,2
555,1217,630,2
556,249,164,2
557,342,500,2
558,686,594,3
559,1279,1606,3
560,589,1308,3
561,1007,485,3
562,479,520,4
563,1163,561,2
564,342,500,2
565,1338,1278,2
566,1542,745,3
567,208,33,2
568,1385,1202,2
569,342,500,2
570,646,1606,3
571,438,312,2
572,1135,1329,3
573,1248,1368,3
574,1694,1621,2
575,342,500,2
576,1250,1423,2
577,976,1009,2
578,1395,1012,3
580,1142,485,3
581,1254,520,4
582,1645,1534,3
583,1061,1259,2
584,1142,485,3
586,1328,432,3
587,1142,485,3
588,1318,986,2
589,79,1687,3
590,1007,485,3
592,1029,1181,3
593,499,986,2
594,683,1606,3
595,1255,587,2
596,414,206,3
597,1384,1458,3
598,1142,485,3
599,282,113,2
600,842,1518,3
601,389,1259,2
602,1421,105,2
604,342,500,2
605,959,1095,3
606,1,854,2
607,130,145,2
608,1248,1368,3
609,1261,25,2
610,173,788,2
611,1070,1423,2
613,1679,893,3
614,195,1079,3
615,1051,955,3
616,1069,362,2
617,1255,587,2
618,1404,593,2
619,1007,485,3
620,421,1424,2
621,1142,485,3
622,1018,1331,4
623,126,871,2
624,1070,1423,2
625,342,500,2
626,48,500,2
627,646,1606,3
628,244,1495,2
629,342,500,2
630,1475,905,3
631,1172,810,2
632,1250,1423,2
633,589,1308,3
634,1007,485,3
635,1073,580,3
636,1261,25,2
637,769,587,2
638,769,587,2
641,1244,500,2
642,1510,1009,2
643,342,500,2
644,508,362,2
645,173,788,2
646,499,986,2
647,800,383,3
648,686,594,3
649,248,1596,2
650,988,727,2
651,1196,1181,3
652,360,1174,3
653,374,131,3
654,1603,520,4
655,224,1487,3
656,230,1424,2
657,1477,206,3
660,997,187,4
661,1483,561,2
662,808,1272,3
663,1659,825,4
665,53,1202,2
666,1142,485,3
667,1634,143,2
668,1017,605,2
669,1355,312,2
670,686,594,3
671,242,1531,2
672,1085,1228,4
674,508,362,2
675,598,362,2
676,549,781,4
677,858,1426,2
678,1387,933,2
679,769,587,2
680,64,206,3
681,1680,587,2
682,217,908,4
683,1244,500,2
685,1378,322,3
687,1196,1181,3
689,430,1502,2
690,198,1009,2
692,565,500,2
693,792,805,3
694,451,945,2
695,1533,602,2
696,1483,561,2
697,242,1531,2
698,633,568,3
699,1250,1423,2
701,403,1687,3
702,739,1181,3
703,1474,480,3
704,512,362,2
705,936,143,2
706,126,871,2
707,558,92,2
708,1007,485,3
709,1114,113,2
710,1038,1174,3
711,1489,1009,2
712,844,1458,3
713,1255,587,2
714,1088,287,2
715,403,1687,3
716,429,113,2
717,130,145,2
718,1277,312,2
719,921,143,2
720,1135,1329,3
721,977,871,2
722,598,362,2
723,438,312,2
724,1388,1249,2
725,1542,745,3
726,1070,1423,2
727,1447,351,2
728,1477,206,3
729,1007,485,3
730,1388,1249,2
731,342,500,2
732,1486,140,1
733,799,920,2
734,414,206,3
736,799,920,2
737,624,871,2
738,746,1200,2
739,227,602,2
740,389,1259,2
741,921,143,2
742,342,500,2
743,895,1499,3
744,342,500,2
745,1301,1034,2
746,1221,1426,2
747,184,1009,2
748,1264,1687,3
749,414,206,3
750,1493,594,3
751,389,1259,2
752,619,145,2
754,58,766,3
755,828,293,2
757,1026,351,2
758,624,871,2
759,1244,500,2
760,79,1687,3
761,1204,1215,3
762,844,1458,3
763,29,1678,2
764,1018,1331,4
766,1355,312,2
767,692,213,3
768,1007,485,3
769,806,1497,2
770,558,92,2
771,374,131,3
772,475,1550,3
773,1007,485,3
774,769,587,2
775,421,1424,2
776,561,395,1
777,1574,1257,2
778,1378,322,3
779,769,587,2
780,1474,480,3
781,208,33,2
782,512,362,2
783,403,1687,3
784,1007,485,3
785,769,587,2
786,799,920,2
789,173,788,2
790,926,852,4
791,1225,8,3
792,1577,362,2
793,1142,485,3
795,1163,561,2
796,1084,194,3
797,192,1181,3
798,1142,485,3
799,217,908,4
800,65,293,2
801,1275,1618,3
802,769,587,2
803,324,1145,3
804,1301,1034,2
805,1113,1145,3
806,730,1482,1
807,1225,8,3
808,1625,1141,3
809,518,362,2
810,491,679,1
811,449,1139,2
812,1404,593,2
813,1142,485,3
814,1196,1181,3
817,1244,500,2
818,459,1330,3
819,619,145,2
820,1255,587,2
821,1098,897,3
822,1511,409,2
823,1421,105,2
824,1404,593,2
825,410,894,2
826,342,500,2
827,47,381,2
828,741,362,2
829,707,561,2
830,342,500,2
832,1542,745,3
833,1351,795,2
834,209,293,2
835,806,1497,2
836,1617,713,3
837,209,293,2
838,928,20,3
839,959,1095,3
840,421,1424,2
841,1652,1368,3
842,389,1259,2
843,508,362,2
844,224,1487,3
845,769,587,2
846,1338,1278,2
847,421,1424,2
848,1221,1426,2
849,619,145,2
850,1514,920,2
851,628,149,3
853,481,1009,2
856,496,893,3
857,1298,335,3
858,844,1458,3
859,1084,194,3
860,199,351,2
861,769,587,2
862,1298,335,3
863,686,594,3
864,421,1424,2
865,198,1009,2
866,403,1687,3
867,65,293,2
868,1172,810,2
869,1650,1426,2
870,1114,113,2
871,342,500,2
872,624,871,2
874,342,500,2
875,1638,766,3
876,1196,1181,3
877,1541,968,2
878,1493,594,3
879,1283,1651,2
880,578,1278,2
881,1286,854,2
882,124,104,3
883,1373,872,2
884,1191,61,2
885,84,1308,3
889,558,92,2
890,289,1416,2
891,242,1531,2
892,490,647,3
893,1114,113,2
894,84,1308,3
895,595,186,3
896,1007,485,3
897,173,788,2
898,130,145,2
899,209,293,2
900,1301,1034,2
902,828,293,2
903,976,1009,2
904,284,1009,2
905,1073,580,3
906,1142,485,3
907,694,561,2
909,466,1145,3
910,988,727,2
911,1672,1251,3
912,828,293,2
913,173,788,2
914,1474,480,3
915,1244,500,2
916,1301,1034,2
917,1404,593,2
918,958,1041,4
919,730,1482,1
921,1303,252,3
922,342,500,2
923,64,206,3
924,342,500,2
925,959,1095,3
926,1070,1423,2
927,1477,206,3
928,1254,520,4
929,1255,587,2
930,643,346,3
931,769,587,2
932,1404,593,2
933,1421,105,2
934,1247,593,2
935,1007,485,3
936,1007,485,3
938,263,143,2
939,1680,587,2
940,1070,1423,2
942,589,1308,3
943,289,1416,2
944,1343,25,2
945,586,1519,2
946,586,1519,2
947,1221,1426,2
948,1070,1423,2
949,976,1009,2
950,686,594,3
951,619,145,2
952,936,143,2
954,342,500,2
955,1333,127,3
956,1279,1606,3
957,876,580,3
958,1432,362,2
959,730,1482,1
960,248,1596,2
961,273,362,2
962,730,1482,1
963,5,1637,3
964,1022,252,3
965,674,362,2
966,421,1424,2
967,1567,1531,2
969,173,788,2
970,324,1145,3
971,1337,116,3
972,1483,561,2
973,1250,1423,2
974,1680,587,2
975,1536,1175,3
976,1003,61,2
977,947,1012,3
978,1247,593,2
979,496,893,3
980,1338,1278,2
982,274,381,2
983,342,500,2
984,77,590,3
985,1504,587,2
986,1421,105,2
988,50,312,2
989,208,33,2
990,65,293,2
991,1106,1383,3
992,1286,854,2
993,227,602,2
994,65,293,2
995,472,1259,2
997,333,1497,2
998,1578,1249,2
999,126,871,2
1001,1342,362,2
1003,936,143,2
1004,48,500,2
1005,959,1095,3
1006,1574,1257,2
1008,1542,745,3
1009,1113,1145,3
1010,1680,587,2
1011,1135,1329,3
1012,242,1531,2
1013,988,727,2
1014,1255,587,2
1016,48,500,2
1017,1301,1034,2
1018,782,1562,3
1019,1680,587,2
1020,491,679,1
1021,342,500,2
1022,1011,745,3
1023,330,986,2
1026,844,1458,3
1027,1675,1550,3
1028,565,500,2
1029,1461,1215,3
1030,1061,1259,2
1032,1301,1034,2
1033,1483,561,2
1034,374,131,3
1035,1404,593,2
1036,1007,485,3
1037,389,1259,2
1038,1483,561,2
1039,1233,1257,2
1040,769,587,2
1042,996,1259,2
1044,130,145,2
1045,769,587,2
1046,0,605,2
1047,1338,1278,2
1048,769,587,2
1049,5,1637,3
1051,1250,1423,2
1052,1560,293,2
1053,1445,293,2
1054,808,1272,3
1055,1493,594,3
1056,1073,580,3
1057,389,1259,2
1058,512,362,2
1059,1114,113,2
1060,1385,1202,2
1061,926,852,4
1062,228,1482,1
1063,173,788,2
1064,1073,580,3
1065,1376,480,3
1066,173,788,2
1067,1395,1012,3
1068,1135,1329,3
1069,691,1079,3
1070,1007,485,3
1071,1163,561,2
1072,491,679,1
1073,842,1518,3
1074,219,1081,2
1075,173,788,2
1076,1051,955,3
1077,1404,593,2
1079,799,920,2
1080,242,1531,2
1081,330,986,2
1082,801,766,3
1083,1244,500,2
1084,342,500,2
1085,535,426,3
1086,217,908,4
1087,1007,485,3
1088,421,1424,2
1089,1338,1278,2
1090,1421,105,2
1091,1135,1329,3
1092,1069,362,2
1093,173,788,2
1094,1504,587,2
1095,342,500,2
1096,1163,561,2
1097,1142,485,3
1098,1578,1249,2
1099,1007,485,3
1100,1250,1423,2
1101,1244,500,2
1102,475,1550,3
1103,739,1181,3
1105,508,362,2
1106,342,500,2
1107,525,1566,2
1108,1070,1423,2
1111,1400,335,3
1112,1287,1009,2
1113,1408,1259,2
1114,1277,312,2
1115,1493,594,3
1116,1231,901,2
1117,4,1266,3
1118,84,1308,3
1119,1245,1259,2
1120,1374,1278,2
1121,976,1009,2
1122,389,1259,2
1123,481,1009,2
1124,337,653,1
1125,242,1531,2
1126,1196,1181,3
1127,1070,1423,2
1128,1493,594,3
1129,1483,561,2
1131,806,1497,2
1132,1002,879,2
1133,209,293,2
1134,1173,805,3
1135,508,362,2
1136,1560,293,2
1137,1255,587,2
1139,1186,312,2
1140,126,871,2
1141,1233,1257,2
1142,84,1308,3
1143,730,1482,1
1144,414,206,3
1145,1250,1423,2
1146,1625,1141,3
1147,575,1257,2
1148,1248,1368,3
1149,1111,835,3
1150,396,164,2
1151,619,145,2
1152,1051,955,3
1153,565,500,2
1154,209,293,2
1155,389,1259,2
1156,1262,1658,3
1157,1250,1423,2
1159,342,500,2
1160,769,587,2
1161,274,381,2
1162,988,727,2
1163,429,113,2
1164,421,1424,2
1165,327,92,2
1168,342,500,2
1169,769,587,2
1171,438,312,2
1172,1084,194,3
1173,1493,594,3
1174,619,145,2
1175,1511,409,2
1176,1634,143,2
1179,1051,955,3
1180,1462,893,3
1181,333,1497,2
1182,1639,1181,3
1183,434,968,2
1184,1007,485,3
1185,518,362,2
1187,324,1145,3
1188,173,788,2
1189,387,1621,2
1191,270,143,2
1192,619,145,2
1193,289,1416,2
1194,1542,745,3
1195,1680,587,2
1196,337,653,1
1198,806,1497,2
1200,195,1079,3
1201,421,1424,2
1202,421,1424,2
1203,1250,1423,2
1204,842,1518,3
1205,988,727,2
1206,926,852,4
1207,988,727,2
1208,926,852,4
1209,469,1383,3
1210,173,788,2
1211,1593,1673,2
1212,1221,1426,2
1213,984,827,3
1214,844,1458,3
1215,1483,561,2
1216,1301,1034,2
1217,558,92,2
1218,195,1079,3
1219,342,500,2
1220,1237,623,3
1221,421,1424,2
1223,618,105,2
1224,1393,1383,3
1225,692,213,3
1226,1638,766,3
1227,1205,580,3
1228,984,827,3
1229,342,500,2
1230,1250,1423,2
1231,342,500,2
1232,819,798,2
1234,1535,727,2
1235,452,561,2
1237,315,131,3
1239,1049,1606,3
1240,173,788,2
1241,769,587,2
1242,558,92,2
1243,111,362,2
1244,225,593,2
1245,1142,485,3
1246,191,1383,3
1247,1375,805,3
1248,984,827,3
1249,48,500,2
1250,1675,1550,3
1252,1231,901,2
1253,173,788,2
1254,176,713,3
1255,969,1141,3
1256,769,587,2
1257,1230,8,3
1258,1493,594,3
1259,1142,485,3
1260,799,920,2
1261,390,1546,3
1262,242,1531,2
1263,209,293,2
1265,421,1424,2
1267,1645,1534,3
1268,637,92,2
1269,353,755,1
1270,1605,1531,2
1271,1680,587,2
1272,1007,485,3
1273,1542,745,3
1274,637,92,2
1275,1135,1329,3
1276,598,362,2
1277,579,1371,5
1278,493,1331,4
1279,771,1251,3
1280,1375,805,3
1281,1542,745,3
1282,1345,1056,2
1283,360,1174,3
1284,926,852,4
1285,819,798,2
1286,598,362,2
1287,324,1145,3
1288,389,1259,2
1289,1147,1027,2
1290,828,293,2
1291,806,1497,2
1292,491,679,1
1293,1279,1606,3
1294,126,871,2
1295,1404,593,2
1296,242,1531,2
1297,1205,580,3
1298,562,986,2
1299,737,854,2
1301,1577,362,2
1302,1567,1531,2
1303,769,587,2
1305,619,145,2
1306,1059,1696,2
1307,64,206,3
1308,1007,485,3
1309,523,593,2
1310,531,1058,3
1312,1338,1278,2
1313,1510,1009,2
1314,438,312,2
1316,1142,485,3
1317,1680,587,2
1318,1301,1034,2
1319,1560,293,2
1320,598,362,2
1322,1611,1081,2
1323,196,1667,3
1325,1163,561,2
1326,586,1519,2
1327,342,500,2
1328,1301,1034,2
1331,475,1550,3
1332,842,1518,3
1334,163,945,2
1335,769,587,2
1336,512,362,2
1337,173,788,2
1338,421,1424,2
1341,730,1482,1
1342,126,871,2
1344,1002,879,2
1345,333,1497,2
1346,691,1079,3
1347,387,1621,2
1348,429,113,2
1349,278,362,2
1350,1247,593,2
1351,1301,1034,2
1352,1474,480,3
1353,1191,61,2
1354,1179,580,3
1355,284,1009,2
1356,595,186,3
1357,818,852,4
1358,1560,293,2
1360,1253,127,3
1361,227,602,2
1362,256,1257,2
1363,389,1259,2
1364,769,587,2
1365,389,1259,2
1366,598,362,2
1367,959,1095,3
1368,746,1200,2
1369,996,1259,2
1370,421,1424,2
1371,1663,1398,2
1372,1135,1329,3
1373,198,1009,2
1374,816,623,3
1375,1375,805,3
1377,1558,323,3
1378,429,113,2
1379,1114,113,2
1380,1680,587,2
1381,1603,520,4
1382,437,92,2
1383,1301,1034,2
1384,217,908,4
1385,342,500,2
1386,518,362,2
1387,342,500,2
1388,619,145,2
1389,1493,594,3
1390,491,679,1
1391,1163,561,2
1392,1393,1383,3
1393,1408,1259,2
1394,1117,14,3
1395,1301,1034,2
1397,1051,955,3
1398,1203,755,1
1399,1574,1257,2
1400,691,1079,3
1401,475,1550,3
1402,437,92,2
1403,64,206,3
1404,1244,500,2
1405,1359,1215,3
1406,472,1259,2
1407,173,788,2
1408,782,1562,3
1409,342,500,2
1410,342,500,2
1411,1111,835,3
1413,224,1487,3
1414,173,788,2
1415,911,1531,2
1416,598,362,2
1418,342,500,2
1419,523,593,2
1420,179,1259,2
1423,987,1426,2
1424,686,594,3
1425,1298,335,3
1428,436,1518,3
1429,1172,810,2
1430,936,143,2
1431,1043,226,3
1433,618,105,2
1435,184,1009,2
1436,209,293,2
1438,342,500,2
1439,958,1041,4
1440,1114,113,2
1441,436,1518,3
1442,1142,485,3
1443,72,620,4
1444,1244,500,2
1445,184,1009,2
1446,1070,1423,2
1447,5,1637,3
1448,921,143,2
1449,342,500,2
1451,342,500,2
1452,342,500,2
1453,730,1482,1
1454,523,593,2
1455,665,520,4
1456,1117,14,3
1457,1007,485,3
1458,1503,580,3
1459,1250,1423,2
1460,414,206,3
1461,1250,1423,2
1462,1301,1034,2
1463,1007,485,3
1464,686,594,3
1465,686,594,3
1466,1244,500,2
1467,828,293,2
1468,1680,587,2
1469,959,1095,3
1470,65,293,2
1471,1007,485,3
1473,1026,351,2
1475,1244,500,2
1476,921,143,2
1477,342,500,2
1479,1051,955,3
1480,844,1458,3
1481,1061,1259,2
1482,746,1200,2
1483,1011,745,3
1484,242,1531,2
1485,1007,485,3
1486,1069,362,2
1487,208,33,2
1488,1076,986,2
1489,494,768,2
1490,342,500,2
1491,421,1424,2
1492,421,1424,2
1493,1616,827,3
1494,1665,945,2
1495,160,605,2
1496,1529,805,3
1497,342,500,2
1498,730,1482,1
1499,126,871,2
1500,65,293,2
1501,84,1308,3
1502,1285,1259,2
1503,1685,339,3
1504,438,312,2
1505,1245,1259,2
1506,1375,805,3
1507,239,1515,3
1508,227,602,2
1510,1493,594,3
1511,1192,955,3
1512,1404,593,2
1513,106,381,2
1514,1503,580,3
1515,619,145,2
1516,1431,1066,3
1517,1250,1423,2
1518,1076,986,2
1519,769,587,2
1520,686,594,3
1521,1620,937,4
1522,65,293,2
1523,256,1257,2
1526,342,500,2
1527,316,605,2
1528,389,1259,2
1529,924,1416,2
1530,292,1426,2
1531,799,920,2
1532,1250,1423,2
1534,512,362,2
1536,438,312,2
1537,1393,1383,3
1538,1491,440,2
1539,184,1009,2
1540,65,293,2
1542,1255,587,2
1543,333,1497,2
1544,1142,485,3
1545,324,1145,3
1546,282,113,2
1548,1142,485,3
1549,209,293,2
1550,999,1621,2
1551,1279,1606,3
1552,65,293,2
1554,173,788,2
1555,926,852,4
1556,270,143,2
1558,1403,440,2
1559,804,187,4
1560,1076,986,2
1562,1529,805,3
1563,1435,131,3
1564,508,362,2
1565,683,1606,3
1566,1087,622,3
1567,1192,955,3
1568,531,1058,3
1569,535,426,3
1570,209,293,2
1572,637,92,2
1573,1639,1181,3
1574,619,145,2
1576,1142,485,3
1577,1142,485,3
1578,1493,594,3
1580,1007,485,3
1581,911,1531,2
1582,876,580,3
1583,342,500,2
1585,1051,955,3
1586,324,1145,3
1588,619,145,2
1589,619,145,2
1590,633,568,3
1591,979,1383,3
1592,1675,1550,3
1593,1680,587,2
1596,1172,810,2
1597,209,293,2
1598,217,908,4
1600,1061,1259,2
1601,1301,1034,2
1602,1680,587,2
1603,1301,1034,2
1604,316,605,2
1605,1589,1426,2
1606,195,1079,3
1607,173,788,2
1608,1142,485,3
1609,589,1308,3
1610,1250,1423,2
1611,1070,1423,2
1612,1301,1034,2
1613,508,362,2
1614,242,1531,2
1615,508,362,2
1616,927,605,2
1617,1301,1034,2
1618,1142,485,3
1619,959,1095,3
1620,686,594,3
1621,130,145,2
1622,680,114,3
1623,806,1497,2
1624,512,362,2
1625,683,1606,3
1626,414,206,3
1627,1286,854,2
1628,286,1214,3
1629,173,788,2
1630,1578,1249,2
1631,1135,1329,3
1632,999,1621,2
1633,1007,485,3
1634,1634,143,2
1635,1301,1034,2
1636,739,1181,3
1637,242,1531,2
1638,1188,1497,2
1639,1441,1566,2
1641,969,1141,3
1642,358,1257,2
1643,1392,1041,4
1644,396,164,2
1645,1070,1423,2
1646,959,1095,3
1647,568,384,2
1648,996,1259,2
1649,741,362,2
1650,936,143,2
1651,438,312,2
1652,130,145,2
1653,208,33,2
1654,769,587,2
1655,508,362,2
1656,1483,561,2
1657,1221,1426,2
1658,1250,1423,2
1659,1328,432,3
1660,1286,854,2
1661,1301,1034,2
1662,196,1667,3
1663,598,362,2
1664,295,20,3
1665,1007,485,3
1666,65,293,2
1667,1248,1368,3
1668,577,114,3
1669,1244,500,2
1670,1051,955,3
1671,917,1374,3
1672,330,986,2
1673,1404,593,2
1674,421,1424,2
1675,142,9,3
1676,436,1518,3
1677,707,561,2
1678,173,788,2
1679,289,1416,2
1680,475,1550,3
1681,558,92,2
1682,1135,1329,3
1683,48,500,2
1684,209,293,2
1685,730,1482,1
1686,1384,1458,3
1687,1061,1259,2
1688,730,1482,1
